asset,policy_id,asset_name,quantity,name,description,ticker
e4214b7cce62ac6fbba385d164df48e157eae5863521b4b67ca71d86407d775a5fbf16eea7d6913f2415d40f12ee46991962cb06b59e0d39de3bc2d4,e4214b7cce62ac6fbba385d164df48e157eae5863521b4b67ca71d86,407d775a5fbf16eea7d6913f2415d40f12ee46991962cb06b59e0d39de3bc2d4,5383927,,,
0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb1ff24330f3ed45bd1285212d74688b05176982f75052df56a37d69acaeb7b3184,0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb1,ff24330f3ed45bd1285212d74688b05176982f75052df56a37d69acaeb7b3184,1,,,
4521d04f91d098d07195696b9511d3c6d1e0202da6787a4e5b26a05a6444,4521d04f91d098d07195696b9511d3c6d1e0202da6787a4e5b26a05a,6444,1000000000000,,,
fa5023c35afd24afacc566477fc8eb1adc990d1fa61c0dda40d04173534e454b424c5545,fa5023c35afd24afacc566477fc8eb1adc990d1fa61c0dda40d04173,534e454b424c5545,76420690000,,,
b34b3ea80060ace9427bda98690a73d33840e27aaa8d6edb7f0c757a634e455441,b34b3ea80060ace9427bda98690a73d33840e27aaa8d6edb7f0c757a,634e455441,1000000000,,,
0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb11bfbf531056871c58022c2fce1baf8b73ed6640c1defc6d45f4868521b1993d3,0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb1,1bfbf531056871c58022c2fce1baf8b73ed6640c1defc6d45f4868521b1993d3,1,,,
0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb17bd5a1d711d198ccec9de779fa8588089e32747a793d7fa70b7889f1ef9a551f,0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb1,7bd5a1d711d198ccec9de779fa8588089e32747a793d7fa70b7889f1ef9a551f,1,,,
0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb117c99896a14472eee44eb2fd8e5fea35dc053b2416a5597295fab9fb6f196412,0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb1,17c99896a14472eee44eb2fd8e5fea35dc053b2416a5597295fab9fb6f196412,1,,,
e4214b7cce62ac6fbba385d164df48e157eae5863521b4b67ca71d8637416285b29619a2840832cd61bbaceaaf75789a36241f8bc3208aeb23b37c1c,e4214b7cce62ac6fbba385d164df48e157eae5863521b4b67ca71d86,37416285b29619a2840832cd61bbaceaaf75789a36241f8bc3208aeb23b37c1c,5548235110,,,
64affc1497d0e4a8f22c18a74cd51af2a048dcb9547c1e43da4a38f2435237434f434b,64affc1497d0e4a8f22c18a74cd51af2a048dcb9547c1e43da4a38f2,435237434f434b,1000000,,,
0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb13171830522803754e50eaa20edb3b25fd5ec379745968f9ca440324ce38f4312,0be55d262b29f564998ff81efe21bdc0022621c12f15af08d0f2ddb1,3171830522803754e50eaa20edb3b25fd5ec379745968f9ca440324ce38f4312,1,,,
